관리번호,공원명,공원구분,소재지도로명주소,전화번호
29170-00101,첨단2주거 3호어린이공원,어린이공원,광주광역시 북구 신용동 740,062-410-6438
29170-00102,첨단2산업체육공원,체육공원,광주광역시 북구 첨단연신로29번길 23,062-410-6438
29170-00103,천변공원,수변공원,광주광역시 북구 임동 226-9,062-410-6438
29170-00104,일곡근린공원,근린공원,광주광역시 북구 일곡동 140,062-410-6438
29170-00105,양지소공원,소공원,광주광역시 북구 산 180-10,062-410-6438
29170-00106,유림소공원,소공원,광주광역시 북구 동림동 1328,062-410-6438
29170-00107,풍향골어린이공원,어린이공원,광주광역시 북구 풍향동 810,062-410-6438
29170-00108,신평소공원,소공원,광주광역시 북구 용두동 311-80,062-410-6438
31140-00001,울산대공원,근린공원,울산광역시 남구 옥동 대공원로 94,052-226-8818
31140-00002,울산체육공원,체육공원,울산광역시 남구 문수로 44,052-220-2002
31710-00001,울산하늘공원,묘지공원,울산광역시 울주군 삼동면 보삼길 550,052-255-3835
48730-00001,괴항공원,역사공원,경상남도 함안군 함안면 괴산4길 25,055-580-2324
48730-00004,사적공원,근린공원,경상남도 함안군 가야읍 도항1길 46-8,055-580-2453
48730-00007,대치공원,근린공원,경상남도 함안군 칠서면 향촌길 20,055-580-3553
48730-00010,입곡문화공원,문화공원,경상남도 함안군 산인면 입곡공원길 224-41,055-580-4585
48730-00011,서촌공원,소공원,경상남도 함안군 함안면 함안대로 109,055-580-4585
45750-00001,1호공원(봉황공원),근린공원,전라북도 임실군 임실읍 두곡리산96-1,063-640-2335
45750-00002,1호근린공원,근린공원,전라북도 임실군 오수면대 명리 산101,063-640-2335
45750-00003,1호사선대공원,근린공원,전라북도 임실군 관촌면덕 천리산39-1,063-640-2335
45750-00004,2호근린공원,근린공원,전라북도 임실군 오수면대 명리산88,063-640-2335
45750-00005,3호근린공원,근린공원,전라북도 임실군 오수면 오수리332,063-640-2335
45750-00006,운암 근린공원,근린공원,전라북도 임실군  운암면 쌍암리 637-8,063-640-2335
45750-00007,4호원동산어린이공원,어린이공원,전라북도 임실군  오수면 오수리332,063-640-2335
45750-00008,5호공원,어린이공원,전라북도 임실군 오수면 대명리537-1,063-640-2335
45750-00009,관촌어린이공원,어린이공원,전라북도 임실군  관촌리 151번지,063-640-2335
45750-00010,운암 소공원,소공원,전라북도 임실군 운암면 쌍암리 417-1,063-640-2335
41570-00015,사우택지6(김포어린이11),어린이공원,경기도 김포시 돌문로 50-6,031-980-5627
41570-00180,김포어린이35,어린이공원,경기도 김포시 김포대로761번길 5,031-980-2344
41570-00181,김포어린이37,어린이공원,경기도 김포시 풍무로 176,031-980-2344
41570-00182,김포어린이41,어린이공원,경기도 김포시 선수로367번길 34,031-980-2344
41570-00018,걸포근린공원(김포3호),근린공원,경기도 김포시 걸포로 76,031-980-5627
41570-00212,김포어린이46,어린이공원,경기도 김포시 감정로33번길 23,031-980-2344
41570-00205,학운3소공원50,소공원,경기도 김포시 첫섬로 120,031-980-2344
41570-00113,한강주제5,문화공원,경기도 김포시 김포한강11로 162 (운양동),031-980-5627
41570-00202,김포어린이42,어린이공원,경기도 김포시 김포대로693번길 21,031-980-2344
41570-00035,장기근린2,근린공원,경기도 김포시 김포한강1로 29,031-980-5627
41570-00004,하성근린공원(태산패밀리파크),근린공원,경기도 김포시 하성로 585,031-980-2344
41570-00006,월곶조각공원,근린공원,경기도 김포시 용강로37번길 76-44,031-980-2742
41570-00008,사우구획1(김포어린이1),어린이공원,경기도 김포시 봉화로 14-12,031-980-5627
41570-00009,사우구획2(김포어린이2),어린이공원,경기도 김포시 봉화로 13-17,031-980-5627
41570-00162,양촌어린이24,어린이공원,경기도 김포시 양곡1로56번길 49,031-980-5627
41570-00171,애기봉평화공원,문화공원,경기도 김포시 평화공원로 291,031-980-2742
41570-00050,양곡택지4,근린공원,경기도 김포시 양곡로 413,031-980-5627
41570-00207,학운3어린이61,어린이공원,경기도 김포시 삼도공단로 5-2,031-980-2344
41570-00210,김포소공원31,소공원,경기도 김포시 감정로 57,031-980-2344
41570-00213,고촌문화공원1,문화공원,경기도 김포시 장차로 10,031-980-2344
41570-00049,양곡근린3,근린공원,경기도 김포시 양곡4로197번길 40,031-980-5627
41570-00052,양곡택지6,근린공원,경기도 김포시 양곡2로30번길 46,031-980-5627
41570-00053,마송근린2,근린공원,경기도 김포시 마송1로83번길 50,031-980-5627
41570-00054,마송근린3,근린공원,경기도 김포시 마송1로 22,031-980-5627
41570-00057,장기근린4,근린공원,경기도 김포시 초당로 40,031-980-5627
41570-00206,학운3어린이60,어린이공원,경기도 김포시 삼도공단로 5,031-980-2344
41570-00083,고촌어린이112,어린이공원,경기도 김포시 인향로210번길 34-25,031-980-5276
41570-00225,향산지구 제1문화공원,문화공원,경기도 김포시 고촌읍 상미로 105,031-980-2344
41570-00222,향산지구 제2어린이공원,어린이공원,경기도 김포시 고촌읍 금포로621번길 127,031-980-2344
41570-00114,한강주제6,수변공원,경기도 김포시 김포한강11로 455 (운양동),031-980-5627
41570-00116,한강주제3,체육공원,경기도 김포시 김포한강3로 387 (마산동),031-980-2585
41570-00195,씨네문화공원1,문화공원,경기도 김포시 금파로213번길 270-38,031-980-2344
41570-00199,고촌2관문공원,문화공원,경기도 김포시 수기로 8-1,031-980-2344
41135-00065,삼평공원,어린이공원,경기도 성남시 분당구 서현동 332번지,031-729-7461
41135-00068,양지공원,어린이공원,경기도 성남시 분당구 서현동 94-1번지,031-729-7461
41135-00071,단대공원,어린이공원,경기도 성남시 분당구 서현동 317-1번지,031-729-7461
41135-00105,영장공원,어린이공원,경기도 성남시 분당구 금곡동 183번지,031-729-7461
41135-00108,희망대공원,어린이공원,경기도 성남시 분당구 구미동 279번지,031-729-7461
41135-00062,수진공원,어린이공원,경기도 성남시 분당구 이매동 125번지,031-729-7461
41135-00112,위례 제10호공원,어린이공원,경기도 성남시 분당구 운중동 889 일원,031-729-8091
41135-00115,복정공원,어린이공원,경기도 성남시 분당구 운중동 1044,031-729-8091
41135-00119,복고개공원,어린이공원,경기도 성남시 분당구 판교동 532,031-729-8091
41135-00122,기왓골공원,어린이공원,경기도 성남시 분당구 삼평동 731,031-729-8091
41135-00081,주도산공원,어린이공원,경기도 성남시 분당구 수내동 62번지,031-729-7461
41135-00084,복우물공원,어린이공원,경기도 성남시 분당구 정자동 108번지,031-729-7461
41135-00087,미소공원,어린이공원,경기도 성남시 분당구 정자동 72번지,031-729-7461
41135-00074,한빛,어린이공원,경기도 성남시 분당구 분당동 194-3번지,031-729-7461
41135-00092,서일로,어린이공원,경기도 성남시 분당구 정자동 182번지,031-729-7461
41135-00095,단대지구1호(하늘빛)공원,어린이공원,경기도 성남시 분당구 구미동 32번지,031-729-7461
41135-00098,위례역사공원공원,어린이공원,경기도 성남시 분당구 구미동 87번지,031-729-7461
41135-00133,대원공원,어린이공원,경기도 성남시 분당구 삼평동 626,031-729-8091
41135-00138,황송공원,체육공원,경기도 성남시 분당구 운중동 921-3 일원,031-729-4382
41133-00029,은행공원,어린이공원,경기도 성남시 중원구 여수동 614,031-729-6451
41131-00010,자혜공원,근린공원,경기도 성남시 수정구 창곡동 산33,031-729-4274
41131-00017,사기막골공원,어린이공원,경기도 성남시 수정구 복정동670,031-729-5451
41131-00023,여수지구1호공원,어린이공원,경기도 성남시 수정구 창곡동 산70-2,031-729-4264
41133-00008,여수지구2호공원,근린공원,경기도 성남시 중원구 성남동 4674,031-729-4274
41133-00010,여수지구3호(시청)공원,근린공원,경기도 성남시 중원구 여수동 산10,031-729-4272
41133-00014,여수지구4호(여수울)공원,어린이공원,경기도 성남시 중원구 하대원동 249,031-729-6451
41133-00017,도촌 제1호(섬말)공원,어린이공원,경기도 성남시 중원구 도촌동 310-1 일원,031-729-6451
41133-00021,도촌 제2호(독고개)공원,어린이공원,경기도 성남시 중원구 중앙동 1374-18,031-729-6451
41133-00024,도촌 제3호(이왕이)공원,어린이공원,경기도 성남시 중원구 여수동 216,031-729-6451
41133-00025,둔촌공원,어린이공원,경기도 성남시 중원구 여수동 367,031-729-6451
41133-00026,도촌동어 1(여울)공원,어린이공원,경기도 성남시 중원구 여수동 산12,031-729-6451
41133-00027,도촌동어 2(산바람)공원,어린이공원,경기도 성남시 중원구 은행동 1409,031-729-6451
41133-00028,도촌동어 3(솔바람)공원,어린이공원,경기도 성남시 중원구 은행동 811,031-729-6451
41133-00031,도촌동어 4(금잉어)공원,소공원,경기도 성남시 중원구 중앙동 2970-2,031-729-6451
41133-00034,도촌동어 5(약수터)공원,소공원,경기도 성남시 중원구 은행동 1815-1,037-729-6451
41133-00035,삼창아파트공원,소공원,경기도 성남시 중원구 은행동 1855,037-729-6451
41133-00039,도란도란,소공원,경기도 성남시 중원구 은행동 899,037-729-6451
41133-00040,여수지구3호(한아름)공원,소공원,경기도 성남시 중원구 은행동 1210,037-729-6451
41133-00043,여수지구4호(따르릉)공원,소공원,경기도 성남시 중원구 은행동 1883-1,037-729-6451
41133-00045,여수지구5호(사각사각)공원,소공원,경기도 성남시 중원구 은행동 1249,037-729-6451
41135-00002,은행2동(달빛)공원,도시농업공원,경기도 성남시 분당구 율동 318,031-729-4382
41135-00003,은행정이 공원,도시농업공원,경기도 성남시 분당구 운중동 530-4,031-729-4262
41135-00006,삼남아파트(힐스)공원,근린공원,경기도 성남시 분당구 야탑동 195,031-729-4382
41135-00007,은행제1호공원,근린공원,경기도 성남시 분당구 야탑동 195-1,031-729-4382
41135-00008,은행제2호공원,근린공원,경기도 성남시 분당구 야탑동 271,031-729-4382
41135-00011,은행제3호공원,근린공원,경기도 성남시 분당구 분당동 64-1,031-729-4382
41135-00012,은행제5호공원,근린공원,경기도 성남시 분당구 분당동 37,031-729-4382
41135-00013,은행제7호공원,근린공원,"경기도 성남시 분당구 수내동 65, 66",031-729-4382
41135-00014,은행제8호공원,체육공원,"경기도 성남시 분당구 수내동 42, 43",031-729-4382
41135-00015,은행제9호공원,근린공원,경기도 성남시 분당구 수내동 49-1,031-729-4382
41135-00016,은행제11호공원,근린공원,경기도 성남시 분당구 정자동 103,031-729-4382
41135-00017,은행제13호공원,근린공원,경기도 성남시 분당구 정자동 252 일원,031-729-4382
41135-00019,은행제14호공원,근린공원,경기도 성남시 분당구 정자동 183-1,031-729-4382
41135-00010,이매공원,근린공원,경기도 성남시 분당구 분당동 88,031-729-4382
41135-00020,성남공원,근린공원,경기도 성남시 분당구 구미동 19,031-729-4382
41135-00021,서현공원,근린공원,경기도 성남시 분당구 구미동 67,031-729-4382
41135-00022,탑골공원,근린공원,"경기도 성남시 분당구 구미동 193-1, 2",031-729-4382
41135-00023,성지공원,근린공원,경기도 성남시 분당구 구미동 209,031-729-4382
41135-00024,상희공원,근린공원,경기도 성남시 분당구 구미동 217,031-729-4382
41135-00025,점골공원,근린공원,경기도 성남시 분당구 구미동 299,031-729-4382
41135-00026,태현공원,근린공원,경기도 성남시 분당구 야탑동422-3,031-729-4312
41135-00027,맹산공원,근린공원,경기도 성남시 분당구 수내동266-2,031-729-4382
41135-00029,당골공원,근린공원,경기도 성남시 분당구 운중동 953,031-729-4382
41135-00030,중앙공원,근린공원,경기도 성남시 분당구 운중동 915,031-729-4382
41135-00031,황새울공원,근린공원,경기도 성남시 분당구 운중동 990 일원,031-729-4382
41135-00032,마루공원,근린공원,경기도 성남시 분당구 삼평동 697 일원,031-729-4382
41135-00033,능골공원,근린공원,경기도 성남시 분당구 삼평동 717-2,031-729-4382
41135-00034,정자공원,근린공원,경기도 성남시 분당구 삼평동 637 일원,031-729-4382
41135-00036,주택공원,근린공원,경기도 성남시 분당구 백현동 523,031-729-4382
41135-00037,금곡공원,근린공원,경기도 성남시 분당구 삼평동 669,031-729-4382
41135-00039,머내과학기술공원,어린이공원,경기도 성남시 분당구 야탑동 337번지,031-729-7461
41135-00040,벌말공원,어린이공원,경기도 성남시 분당구 야탑동 340번지,031-729-7461
41135-00042,오리공원,어린이공원,경기도 성남시 분당구 야탑동 214-1번지,031-729-7461
41135-00043,진고개공원,어린이공원,경기도 성남시 분당구 야탑동 208번지,031-729-7461
41135-00045,석촌공원,어린이공원,경기도 성남시 분당구 야탑동 178번지,031-729-7461
41135-00046,구미공원,어린이공원,경기도 성남시 분당구 야탑동 301번지,031-729-7461
41135-00048,맹산2공원,어린이공원,경기도 성남시 분당구 야탑동 534번지,031-729-7461
41135-00049,수내공원,어린이공원,경기도 성남시 분당구 야탑동 509번지,031-729-7461
41135-00050,판교제1호(청계)공원,어린이공원,경기도 성남시 분당구 야탑동 529번지,031-729-7461
41135-00051,판교제2호(운중)공원,어린이공원,경기도 성남시 분당구 야탑동 516번지,031-729-7461
41135-00052,판교제3호(두밀)공원,어린이공원,경기도 성남시 분당구 야탑동 524번지,031-729-7461
41135-00053,판교제4호(판교)공원,어린이공원,경기도 성남시 분당구 야탑동 521번지,031-729-7461
41135-00054,판교제6호(붓들)공원,어린이공원,경기도 성남시 분당구 야탑동 167번지,031-729-7461
41135-00055,판교제7호(송현)공원,어린이공원,경기도 성남시 분당구 야탑동 164번지,031-729-7461
41135-00057,판교제8호(화랑)공원,어린이공원,경기도 성남시 분당구 이매동 134번지,031-729-7461
41135-00058,판교제9호(나들이)공원,어린이공원,경기도 성남시 분당구 이매동 144번지,031-729-7461
41135-00060,판교제10호(낙생대)공원,어린이공원,경기도 성남시 분당구 이매동 148번지,031-729-7461
41135-00061,판교제11호(판교테크노파크)공원,어린이공원,경기도 성남시 분당구 이매동 119번지,031-729-7461
41135-00063,꿈동산공원,어린이공원,경기도 성남시 분당구 서현동 78-4번지,031-729-7461
41135-00064,하늘공원,어린이공원,경기도 성남시 분당구 서현동 324번지,031-729-7461
41135-00066,야탑공원,어린이공원,경기도 성남시 분당구 분당동 101번지,031-729-7461
41135-00067,연꽃공원,어린이공원,경기도 성남시 분당구 서현동 89-6번지,031-729-7461
41135-00069,매향공원,어린이공원,경기도 성남시 분당구 서현동 294번지,031-729-7461
41135-00070,새싹공원,어린이공원,경기도 성남시 분당구 서현동 302-1번지,031-729-7461
41135-00072,?속공원,어린이공원,경기도 성남시 분당구 서현동 314-1번지,031-729-7461
41135-00073,양촌공원,어린이공원,경기도 성남시 분당구 서현동 309번지,031-729-7461
41135-00099,중탑공원,어린이공원,경기도 성남시 분당구 구미동 108번지,031-729-7461
41135-00100,탑공원,어린이공원,경기도 성남시 분당구 구미동 114번지,031-729-7461
41135-00101,종달새공원,어린이공원,경기도 성남시 분당구 구미동 138번지,031-729-7461
41135-00102,오야소공원,어린이공원,경기도 성남시 분당구 구미동 206번지,031-729-7461
41135-00103,무잡모퉁이공원,어린이공원,경기도 성남시 분당구 구미동 281번지,031-729-7461
41135-00104,장승백이공원,어린이공원,경기도 성남시 분당구 구미동 294번지,031-729-7461
41135-00106,무장들공원,어린이공원,경기도 성남시 분당구 금곡동 175번지,031-729-7461
41135-00107,탑골공원,어린이공원,경기도 성남시 분당구 구미동 230번지,031-729-7461
41135-00109,목련공원,어린이공원,경기도 성남시 분당구 구미동 239번지,031-729-7461
41135-00110,신일공원,어린이공원,경기도 성남시 분당구 구미동 252번지,031-729-7461
41135-00113,과수원공원,어린이공원,"경기도 성남시 분당구 운중동 900, 900-5",031-729-8091
41135-00114,아름공원,어린이공원,경기도 성남시 분당구 운중동 1012 일원,031-729-8091
41135-00116,매송공원,어린이공원,경기도 성남시 분당구 판교동 597,031-729-8091
41135-00117,방아다리공원,어린이공원,경기도 성남시 분당구 판교동 573,031-729-8091
41135-00118,이매길공원,어린이공원,경기도 성남시 분당구 판교동 547,031-729-8091
41135-00120,구렛들공원,어린이공원,경기도 성남시 분당구 판교동 487,031-729-8091
41135-00121,누엣길공원,어린이공원,경기도 성남시 분당구 삼평동 707,031-729-8091
41135-00123,솔밭공원,어린이공원,경기도 성남시 분당구 백현동 548,031-729-8091
41135-00124,소공원공원,어린이공원,경기도 성남시 분당구 백현동 606,031-729-8091
41133-00033,점골공원,소공원,경기도 성남시 중원구 은행동 1825-1,037-729-6451
41133-00037,양지공원,소공원,경기도 성남시 중원구 은행동 1066-2,037-729-6451
41133-00042,서현공원,소공원,경기도 성남시 중원구 은행동 1747,037-729-6451
41133-00046,분당공원,소공원,경기도 성남시 중원구 은행동 969,037-729-6451
41135-00004,효자공원,근린공원,경기도 성남시 분당구 이매동 산57,031-729-4382
41135-00009,서당공원,근린공원,경기도 성남시 분당구 서현동 342,031-729-4382
41135-00018,양영공원,근린공원,경기도 성남시 분당구 정자동 253,031-729-4382
41135-00028,수련공원,근린공원,경기도 성남시 분당구 운중동 872 일원,031-729-4382
41135-00035,미래공원,근린공원,경기도 성남시 분당구 백현동 542-1 일원,031-729-4382
41135-00038,안말공원,어린이공원,경기도 성남시 분당구 야탑동 332번지,031-729-7461
41135-00041,장안공원,어린이공원,경기도 성남시 분당구 야탑동 206번지,031-729-7461
41135-00044,동문공원,어린이공원,경기도 성남시 분당구 야탑동 213-1번지,031-729-7461
41135-00047,태현공원,어린이공원,경기도 성남시 분당구 야탑동 385번지,031-729-7461
41135-00056,선지봉공원,어린이공원,경기도 성남시 분당구 이매동 103번지,031-729-7461
41135-00059,초림공원,어린이공원,경기도 성남시 분당구 이매동 114번지,031-729-7461
41135-00075,햇빛공원,어린이공원,경기도 성남시 분당구 분당동 89번지,031-729-7461
41135-00076,내정공원,어린이공원,경기도 성남시 분당구 분당동 124번지,031-729-7461
41135-00077,푸른공원,어린이공원,경기도 성남시 분당구 분당동 162번지,031-729-7461
41135-00078,수내공원,어린이공원,경기도 성남시 분당구 분당동 179번지,031-729-7461
41135-00079,철쭉공원,어린이공원,경기도 성남시 분당구 수내동 31번지,031-729-7461
41135-00080,한솔공원,어린이공원,경기도 성남시 분당구 수내동 26번지,031-729-7461
41135-00082,느티마을공원,어린이공원,경기도 성남시 분당구 수내동 127번지,031-729-7461
41135-00083,백현공원,어린이공원,경기도 성남시 분당구 수내동 110번지,031-729-7461
41135-00085,봉우재공원,어린이공원,경기도 성남시 분당구 정자동 114번지,031-729-7461
41135-00086,정든공원,어린이공원,경기도 성남시 분당구 정자동 91-1번지,031-729-7461
41135-00088,불정공원,어린이공원,경기도 성남시 분당구 정자동 145번지,031-729-7461
41135-00089,산자락공원,어린이공원,경기도 성남시 분당구 정자동 196번지,031-729-7461
41135-00090,늘푸른공원,어린이공원,경기도 성남시 분당구 정자동 204번지,031-729-7461
41135-00091,앞구미공원,어린이공원,경기도 성남시 분당구 정자동 239번지,031-729-7461
41135-00093,청솔공원,어린이공원,경기도 성남시 분당구 금곡동 135번지,031-729-7461
41135-00094,뒷구미공원,어린이공원,경기도 성남시 분당구 금곡동 146번지,031-729-7461
