시설명,어른관람료,운영기관전화번호
김포다도박물관,5000,031-998-1000
덕포진교육박물관,3000,031-989-8580
청주고인쇄박물관,0,043-201-4262
청주시립미술관,1000,043-201-2650
여수민속전시관,0,061-683-2231
아쿠아플라넷여수,23000,061-660-1111
서대문자연사박물관(3월~10월),6000,02-330-8899
서대문자연사박물관(11월~2월),6000,02-330-8899
서대문형무소역사관(3월~10월),3000,02-360-8585
서대문형무소역사관(11월~12월),3000,02-360-8585
산청한의학박물관,2000,055-970-6623
산청박물관,0,070-8990-2133
한국족보박물관,0,042-582-4445
63아트,13000,02-789-5663
63아쿠아플라넷,25000,02-789-5663
한국잡지박물관,0,02-360-0041
증도갯벌생태전시관,0,061-275-8400
하의3도농민운동기념관,0,061-240-8865
증도소금박물관,0,061-275-0829
저녁노을미술관,3000,061-271-1145
박득순미술관,0,02-502-4646
의병박물관,0,055-570-2345
록봉민속교육박물관,5000,051-892-5997
옥천향토전시관,0,043-730-3417
가산박물관,0,043-733-9129
엄미술관,1000,031-222-9188
향토박물관,0,031-369-6376
용주사효행박물관,0,031-232-0660
수원대학교박물관,0,031-220-2341
박수근미술관,3000,033-480-2662
양구백자박물관,0,033-480-2664
양구선사박물관,0,033-480-2677
양구근현대사박물관,0,033-482-1945
양구인문학박물관,0,033-482-9800
쌀문화관,0,031-632-6607
시흥역사자료전시관,0,031-317-0827
창조자연사박물관,8000,031-435-1009
소전미술관,3000,031-313-1211
한국최초 성경전래지 기념관,1000,041-951-1816
월남이상재선생 전시관,0,041-950-4225
서천 이하복 고택 전시관,1500,041-951-4741
고성탈박물관,2000,055-670-2948
고성박물관,0,055-670-5822
고성공룡박물관,3000,055-670-4451
어진박물관,3000,063-231-0090
전주역사박물관,0,063-228-6485
전주미술관,5000,063-283-8887
교동아트미술관,0,063-287-1244
애니메이션박물관,7000,033-245-6444
권진규미술관,10000,033-243-2111
이상원미술관,6000,033-255-9001
춘천미술관,0,033-241-1856
LIUSEUM 세계민족악기전시관,0,031-580-8016
한림대학교박물관,0,033-248-2851
강원대학교박물관,0,033-250-8075
춘천막국수체험박물관,1000,033-244-8869
인형극박물관,2000,033-242-8450
KT&G 상상마당 춘천 아트센터,4000,033-818-3200
공주민속극박물관,3000,041-855-4933
임립미술관,5000,041-856-7749
석장리박물관,1300,041-840-8924
충남역사박물관,0,041-856-8608
계룡산자연사박물관,9000,042-825-4052
동산박물관,5000,041-858-5009
DMZ박물관,0,033-681-0625
화진포역사안보전시관,3000,033-680-3363
화진포해양박물관,5000,033-680-3674
6.25전쟁체험기념관,0,033-682-6625
화진포생태박물관,3000,033-681-8311
진부령미술관,0,033-681-7667
천안박물관,0,041-521-2891
유관순열사기념관,0,041-521-2821
이동녕기념관,0,041-521-2821
독립기념관,0,041-560-0500
복권박물관,0,02-2073-7755
도계민화박물관,0,041-551-6886
백석대학교 기독교박물관,0,041-850-8733
천안예술의전당미술관,0,041-901-6610
리각미술관,3000,070-4111-3463
삼척시립박물관,0,033-575-0768
포천역사문화관,0,031-538-3029
문경도자기박물관,0,054-550-6416
문경석탁박물관,2000,054-550-6422
옛길박물관,1000,054-550-6422
문경자연생태박물관,2000,054-550-8384
대전광역시립미술관,500,042-270-7370
대전역사박물관,0,042-270-8600
대전선사박물관,0,042-270-8640
한국족보박물관,0,042-582-4445
한밭교육박물관,0,042-670-2200
화폐박물관,0,042-870-1400
지질박물관,0,042-868-3797
대청댐물문화관,0,042-930-7332
옛터민속박물관,0,042-274-0016
대전아쿠아리움,21000,042-226-2100
충남대학교 박물관,0,042-821-6042
충남대학교 자연사박물관,0,042-821-5292
한남대학교 중앙박물관,0,042-629-7696
한남대학교 자연사박물관,0,042-629-7699
대전대학교 박물관,0,042-280-2691
배재대학교 박물관,0,042-520-5259
군위숭덕박물관,0,054-380-6064
경북대학교자연사박물관,0,054-383-7026
손기정기념관,0,02-364-1936
경주솔거미술관,1000,054-740-3990
울산대학교박물관,0,052-259-2635
울산박물관,0,052-222-8501
장생포고래박물관,2000,052-256-6301
함평군립미술관,0,061-320-2276
고양어린이박물관,5000,031-839-0300
가와지볍씨박물관,0,031-968-3399
창녕박물관,0,055-530-1500
비봉리 패총전시관,0,055-530-1515
부천교육박물관,1000,032-661-1282
유럽자기박물관,1000,032-661-0238
부천수석박물관,1000,032-655-2900
부천활박물관,1000,032-614-2678
부천펄벅기념관,0,032-668-7565
부천옹기박물관,1000,032-684-9057
자연생태박물관,2000,032-625-3503
부천로보파크,5000,070-7094-5479
한국만화박물관,5000,032-310-3040
기지시줄다리기박물관,0,041-350-4929
합덕수리민속박물관,0,041-350-4931
심훈기념관,0,041-360-6883
아미미술관,5000,041-353-1555
한국도량형박물관,3000,041-356-9739
녹청자박물관,0,032-560-2932
양평친환경농업박물관,0,031-772-3370
양평곤충박물관,2500,031-775-8022
양평군립미술관,700,031-775-8513
몽양기념관,800,031-772-2411
화서기념관,0,031-774-5326
황순원문학촌 소나기마을,1500,031-773-2299
양림미술관,0,062-675-7005
독도박물관,0,054-790-6436
고창판소리박물관,0,063-560-8061
한국압화박물관,2000,061-780-2096
김천세계도자기박물관,1000,054-420-6726
김천시립미술관,0,054-420-6724
경북과학대학교박물관,0,054-972-9796
수양개선사유물전시관,2000,043-423-8502
불교천태중앙박물관,0,043-423-9103
서울교육박물관,0,02-2011-5780
서울역사박물관,0,02-724-0274
꼭두박물관,3000,02-766-3315
목인박물관,5000,02-722-5066
뮤지엄김치간,5000,02-6002-6256
불교중앙박물관,0,02-2011-1960
신문박물관,3000,02-2020-1830
영인문학관,0,02-379-3182
의학박물관,0,02-2072-2636
화정박물관,3000,02-2075-0114
가회민화박물관,2000,02-741-0466
김달진미술자료박물관,0,02-730-6216
떡박물관,3000,02-741-5447
명인박물관,3000,02-766-0272
보나장신구박물관,5000,02-732-6621
북촌동양문화박물관,5000,02-723-0190
북촌박물관,3000,02-766-8402
북촌생활사박물관,5000,02-736-3957
삼성출판박물관,3000,02-394-6544
세계장신구박물관,7000,02-730-1610
쇳대박물관,4000,02-766-6494
쉼박물관,10000,02-396-9277
유금와당박물관,5000,02-394-3451
춘원당한방박물관,0,02-367-2005
한국색동박물관,3000,02-765-9286
한국현대의상박물관,5000,02-734-7340
상명대학교박물관,0,02-781-7920
짚풀생활사박물관,5000,02-743-8787
한국미술박물관,3000,02-766-6000
한무숙문학관,0,02-732-3093
서울대학교 치의학대학원 치의학박물관,0,02-740-8799
성균관대학교 박물관,0,02-760-1216
국립현대미술관(서울관),4000,02-3701-9500
OCI 미술관,0,02-734-0440
JCC미술관,0,02-2138-7373
금호미술관,0,02-720-5114
사비나미술관,0,02-736-4371
상원미술관,0,02-396-3185
성곡미술관,0,02-737-7650
세종문화회관 미술관(세종미술관),0,02-399-1156
아라리오뮤지엄 인스페이스,10000,02-736-5700
아르코미술관,0,02-760-4850
아트선재센터,5000,02-733-8945
아트센터 나비 미술관,0,02-2121-1031
일민미술관,0,02-2020-2050
자하미술관,0,02-395-3222
토탈미술관,5000,02-379-7037
학아재미술관,0,02-766-7647
환기미술관,0,02-391-7701
세화미술관,12000,02-2002-7785
대림미술관,6000,02-720-0667
수다라성보박물관,0,061-352-8097
우리삶문화옥당박물관,0,070-7011-6887
대산미술관,1000,055-291-5237
삼육대학교 박물관,0,02-3399-3636
서울여자대학교 박물관,0,02-970-5311
인덕대학교 아정미술관,0,02-950-7331
서울과학기술대학교 미술관,0,02-970-6215
검단선사박물관,0,032-440-6790
송암미술관,0,032-440-6770
한국이민사박물관,0,032-440-4710
인천도시역사관,0,032-850-6180
인천광역시립박물관,0,032-440-6750
우석헌자연사박물관,5000,031-572-9555
남양주유기농박물관,2000,031-560-1471
무의자박물관,0,02-2279-9755
남양주역사박물관,1000,031-576-0558
프라움악기박물관,5000,031-521-0441
덕소자연사박물관,7000,031-521-7166
예당국악박물관,5000,031-558-4825
왈츠와닥터만 커피박물관,5000,031-576-6051
실학박물관,4000,031-579-6001
미호박물관,7000,031-566-7377
한국탁본자료관,0,031-576-7908
모란미술관,5000,031-594-8001
서호미술관,2000,031-592-1865
둘리뮤지엄,5000,02-990-2200
서대문자연사박물관,6000,02-330-8899
서대문형무소역사관,3000,02-360-8590
서울교육박물관,0,02-2011-5780
서울상상나라,4000,02-6450-9500
서울약령시한의약박물관,1000,02-969-9241
서울역사박물관,0,02-724-0274
성북선잠박물관,1000,02-744-0027
손기정기념관,0,02-364-1936
수도박물관,0,02-3146-5936
은평역사한옥박물관,1000,02-351-8524
종로구립 고희동 미술자료관,0,02-2148-4165
청계천박물관,0,02-2286-3410
한성백제박물관,0,02-2152-5800
허준박물관,1000,02-3661-8686
가회민화박물관,2000,02-741-0466
경기여자고등학교 경운박물관,0,02-3463-1336
고촌이종근기념관,0,02-365-6940
관문사 성보 박물관,0,02-3460-5300
근현대디자인박물관,5000,070-7010-4346
기생충박물관,0,02-2601-3278
김달진미술자료박물관,0,02-730-6216
꼭두박물관,0,02-766-3315
농협 농업박물관,0,02-2080-5727
세계다문화박물관,7000,02-323-6848
도산안창호기념관,0,02-541-1800
떡박물관,3000,02-741-5447
롯데월드 아쿠아리움,31000,02-1661-2000
롯데월드 민속박물관,5000,02-411-4760
명인박물관,3000,02-766-0272
목인박물관,5000,02-722-5066
뮤지엄김치간,5000,02-6002-6456
박을복자수박물관,6000,02-990-7000
배재학당역사박물관,0,02-319-5578
백범김구기념관,0,02-799-3400
보나장신구 박물관,5000,02-732-6621
북촌동양문화박물관,5000,02-723-0190
북촌박물관,3000,02-766-8402
북촌생활사박물관,3000,02-736-3957
불교중앙박물관,0,02-2011-1960
브이센터 더 라이브 뮤지엄,15000,070-4284-8470
삼성출판박물관,3000,02-394-6544
샬트르성바오로수녀회 역사박물관,0,02-3706-3255
서울그레뱅뮤지엄,18000,02-777-4700
서울대학교병원 의학박물관,0,02-2072-2636
서울올림픽기념관,0,02-410-1354
세계골프역사박물관,5000,02-2192-3005
세계장신구박물관,7000,02-730-1610
쇳대박물관,4000,02-766-6494
쉼박물관,10000,02-396-9277
신문박물관 PRESSEUM,3000,02-2020-1830
아쿠아플라넷63,25000,02-780-6382
안중근의사기념관,0,02-3789-1026
영인문학관,5000,02-379-3182
우리옛돌박물관,7000,02-986-1001
우리은행 은행사박물관,0,02-2002-5090
우석뮤지엄,0,02-364-8900
유금와당박물관,5000,02-394-3451
이한열기념관,0,02-325-7216
이화박물관,0,02-2175-1964
인도박물관,3000,02-585-2185
전기박물관,0,02-2105-8190
전쟁과여성인권박물관,3000,02-392-5252
전쟁기념관,0,02-709-3139
종이나라박물관,2000,02-2279-7901
짚풀생활사박물관,5000,02-743-8787
초전섬유퀼트박물관,5000,02-753-4075
춘원당한방박물관,2000,02-3672-2005
코리아나화장박물관,3000,02-547-9177
탄허기념박물관,0,02-445-8486
평강성서유물박물관,2000,02-2686-9496
피규어뮤지엄W,15000,070-7404-2240
한국가구박물관,20000,02-745-0181
한국광고박물관,0,02-2144-0116
한국금융사박물관,0,02-738-6806
한국색동박물관,400,02-765-9286
한국은행 화폐박물관,0,02-759-4881
한국잡지박물관,6000,02-360-0041
한국천주교순교자박물관,0,02-3142-4504
한국현대문학관,3000,02-2277-4857
한국현대의상박물관,5000,02-734-7340
한무숙 문학관,0,02-762-3093
한익환서울아트박물관,0,02-796-0100
혜곡최순우기념관,0,02-3675-3401
호림박물관(신림본관),4000,02-858-3874
호림박물관(신사분관),4000,02-541-3523
화정박물관,6000,02-2075-0114
건국대학교박물관,0,02-450-3881
경희대학교 자연사박물관,0,02-961-0142
경희대학교 중앙박물관,0,02-961-0141
경희대학교 한의학역사박물관,0,02-961-2274
고려대학교박물관,0,02-3290-1514
국민대학교박물관,0,02-910-4212
덕성여자대학교박물관,0,02-901-8132
동국대학교 박물관,0,02-2260-3722
삼육대학교박물관,0,02-3399-3065
상명대학교 박물관,0,02-791-7920
서울대학교치의학대학원치의학박물관,0,02-740-8799
서울대학교박물관,0,02-880-5333
서울시립대학교 박물관,0,02-6490-6586
서울여자대학교박물관,0,02-970-5311
성균관대학교 박물관,0,02-760-1216
성신여자대학교 박물관,0,02-920-7325
성신여자대학교자연사박물관,2000,02-920-2057
성신여자대학교정원박광훈 복식박물관,2000,02-920-2657
세종대학교박물관,0,02-3408-3876
숙명여자대학교박물관,0,02-710-9134
숙명여자대학교 정영양자수박물관,0,02-710-9134
숭실대학교 한국기독교박물관,0,02-820-0752
연세대학교박물관,0,02-2123-3340
이화여대박물관,0,02-3277-3152
이화여자대학교 자연사박물관,0,02-3277-4700
한양대학교박물관,0,02-2220-1394
홍익대학교  박물관,0,02-320-1323
동덕여자대학교박물관,0,02-940-4232
겸재정선미술관,1000,02-2659-2206
서울시립미술관,0,02-2124-8800
남서울미술관,0,02-598-6245
성북구립미술관,2000,02-6925-5011
종로구립 박노수미술관,3000,02-2148-4171
서울과학기술대학교 미술관,0,02-970-6215
서울대학교 미술관,3000,02-880-9504
숙명여자대학교 문신미술관,0,02-2077-7052
인덕대학교 아정미술관,0,02-950-7331
한양여자대학교 미술관,0,02-2290-2543
(재)한원미술관,0,02-588-5642
63아트미술관,12000,02-780-6382
JCC아트센터,10000,02-2183-7373
K현대미술관,15000,02-2138-0952
OCI미술관,0,02-734-0440
김세중미술관,0,02-717-5129
금호미술관,3000,02-720-5114
대림미술관,5000,02-720-0667
밀알미술관,0,02-3412-0061
사비나미술관,3000,02-736-4371
삼성미술관 Leeum,10000,02-2014-6900
상원미술관,1000,02-396-3185
성곡미술관,10000,02-737-7650
세종문화회관 미술관(세종미술관),10000,02-399-1156
세화미술관,0,02-2002-7786
소마미술관,3000,02-425-1077
아라리오뮤지엄 인 스페이스,10000,02-736-5700
아르코미술관,0,02-760-4850
아모레퍼시픽미술관,9000,02-6040-2345
아트선재센터,5000,02-733-8949
아트센터나비미술관,5000,02-2121-1031
한가람미술관,10000,02-580-1300
한가람디자인미술관,10000,02-580-1300
예술의전당 서울서예박물관,5000,02-580-1300
유리지공예관,0,02-578-6663
일민미술관,4000,02-2020-2050
자하미술관,2000,02-395-3222
코리아나미술관,3000,02-547-9177
토탈미술관,3000,02-379-7037
포스코미술관,0,02-3457-1665
학아재미술관,10000,02-766-7647
한미사진미술관,6000,02-418-1315
헬로우뮤지움,5000,02-3217-4222
환기미술관,10000,02-391-7701
동아대학교석당박물관,0,051-200-8493
동아대학교석당박물관,0,051-200-8749
포항시립미술관,0,054-270-4631
영일민속박물관,0,054-270-5811
수원광교박물관,2000,031-228-4175
수원화성박물관,2000,031-228-4242
수원박물관,2000,031-228-4150
수원시립아이파크미술관,4000,031-228-3800
청송민속박물관,0,054-870-6094
군립청송야송미술관,0,054-872-6436
청송수석꽃돌박물관,0,054-873-2400
목포자연사박물관,3000,061-274-3655
목포생활도자박물관,3000,061-270-8480
사상생활사박물관,0,051-310-5136
울주민속박물관,0,052-237-0855
울산옹기박물관,0,052-237-7894
울산해양박물관,5000,052-239-6708
충렬공박제상기념관,0,052-229-9531
철박물관,0,043-883-2321
한독의약박물관,0,043-530-1004
수양개선사유물전시관,2000,043-423-8502
불교천태중앙박물관,0,043-423-9103
청주고인쇄박물관,0,043-201-4262
청주시립미술관,1000,043-201-2650
충주고구려천문과학관,3000,043-842-3247
세계무술박물관,0,043-850-6733
충렬사유물전시관,0,043-850-7302
충주박물관,0,043-850-3927
조동리선사유적박물관,0,043-850-3991
충주과수과학관,0,043-850-3258
한국교통대학교 박물관,0,043-841-5696
세계술문화박물관,5000,043-855-7333
제천유물전시관,3000,043-641-5532
제천의병전시관,0,043-641-4808
국제한방발효박물관,0,043-653-9550
지적박물관,5000,043-651-5115
옥천향토전시관,0,043-730-3417
영동군 난계국악박물관,2000,043-740-3886
증평민속체험박물관,0,043-835-4161
진천종박물관,1500,043-539-3847
진천군립생거판화미술관,1500,043-539-3607
농업역사박물관,0,043-830-2684
보령박물관,0,041-930-4947
보령석탄박물관,1500,041-934-1902
모산조형미술관,0,041-933-8100
반달미술관(여주세계생활도자관),0,031-884-8644
여주산림박물관,0,031-887-2741
목아박물관,5000,031-885-9952
여성생활사박물관,5000,031-882-8100
한얼테마박물관,5000,031-881-6316
어우재미술관,2000,031-883-9080
죽포미술관,0,031-881-5905
곤충박물관,4000,031-885-1400
성지박물관,5000,031-884-0118
여주시립폰박물관,3000,031-887-3548
명성황후기념관,1000,031-880-4022
