시설명,어른관람료,운영기관전화번호,분류
북촌동양문화박물관,5000,02-723-0190,일반
북촌박물관,3000,02-766-8402,일반
북촌생활사박물관,3000,02-736-3957,일반
불교중앙박물관,0,02-2011-1960,일반
브이센터 더 라이브 뮤지엄,15000,070-4284-8470,일반
삼성출판박물관,3000,02-394-6544,일반
샬트르성바오로수녀회 역사박물관,0,02-3706-3255,일반
서울그레뱅뮤지엄,18000,02-777-4700,일반
서울대학교병원 의학박물관,0,02-2072-2636,대학
서울올림픽기념관,0,02-410-1354,일반
세계골프역사박물관,5000,02-2192-3005,일반
세계장신구박물관,7000,02-730-1610,일반
쇳대박물관,4000,02-766-6494,일반
쉼박물관,10000,02-396-9277,일반
신문박물관 PRESSEUM,3000,02-2020-1830,일반
아쿠아플라넷63,25000,02-780-6382,일반
안중근의사기념관,0,02-3789-1026,일반
영인문학관,5000,02-379-3182,일반
우리옛돌박물관,7000,02-986-1001,일반
우리은행 은행사박물관,0,02-2002-5090,일반
우석뮤지엄,0,02-364-8900,일반
유금와당박물관,5000,02-394-3451,일반
이한열기념관,0,02-325-7216,일반
이화박물관,0,02-2175-1964,일반
인도박물관,3000,02-585-2185,일반
전기박물관,0,02-2105-8190,일반
전쟁과여성인권박물관,3000,02-392-5252,일반
전쟁기념관,0,02-709-3139,일반
종이나라박물관,2000,02-2279-7901,일반
짚풀생활사박물관,5000,02-743-8787,일반
초전섬유퀼트박물관,5000,02-753-4075,일반
춘원당한방박물관,2000,02-3672-2005,일반
코리아나화장박물관,3000,02-547-9177,일반
탄허기념박물관,0,02-445-8486,일반
평강성서유물박물관,2000,02-2686-9496,일반
피규어뮤지엄W,15000,070-7404-2240,일반
한국가구박물관,20000,02-745-0181,일반
한국광고박물관,0,02-2144-0116,일반
한국금융사박물관,0,02-738-6806,일반
한국색동박물관,400,02-765-9286,일반
한국은행 화폐박물관,0,02-759-4881,일반
한국잡지박물관,6000,02-360-0041,일반
한국천주교순교자박물관,0,02-3142-4504,일반
한국현대문학관,3000,02-2277-4857,일반
한국현대의상박물관,5000,02-734-7340,일반
한무숙 문학관,0,02-762-3093,일반
한익환서울아트박물관,0,02-796-0100,일반
혜곡최순우기념관,0,02-3675-3401,일반
호림박물관(신림본관),4000,02-858-3874,일반
호림박물관(신사분관),4000,02-541-3523,일반
화정박물관,6000,02-2075-0114,일반
건국대학교박물관,0,02-450-3881,대학
경희대학교 자연사박물관,0,02-961-0142,대학
경희대학교 중앙박물관,0,02-961-0141,대학
경희대학교 한의학역사박물관,0,02-961-2274,대학
고려대학교박물관,0,02-3290-1514,대학
국민대학교박물관,0,02-910-4212,대학
덕성여자대학교박물관,0,02-901-8132,대학
동국대학교 박물관,0,02-2260-3722,대학
삼육대학교박물관,0,02-3399-3065,대학
상명대학교 박물관,0,02-791-7920,대학
서울대학교치의학대학원치의학박물관,0,02-740-8799,대학
서울대학교박물관,0,02-880-5333,대학
서울시립대학교 박물관,0,02-6490-6586,대학
서울여자대학교박물관,0,02-970-5311,대학
성균관대학교 박물관,0,02-760-1216,대학
성신여자대학교 박물관,0,02-920-7325,대학
성신여자대학교자연사박물관,2000,02-920-2057,대학
성신여자대학교정원박광훈 복식박물관,2000,02-920-2657,대학
세종대학교박물관,0,02-3408-3876,대학
숙명여자대학교박물관,0,02-710-9134,대학
숙명여자대학교 정영양자수박물관,0,02-710-9134,대학
숭실대학교 한국기독교박물관,0,02-820-0752,대학
연세대학교박물관,0,02-2123-3340,대학
이화여대박물관,0,02-3277-3152,일반
이화여자대학교 자연사박물관,0,02-3277-4700,대학
